,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,結果
単語の組,"(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(beautiful, gorgeous)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(wisdom, knowledge)","(end, finish)","(end, finish)","(end, finish)","(end, finish)","(end, finish)",
齟齬発生したか？,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,11/15
齟齬発生時点,5,7,5,,9,5,5,5,,5,,5,,5,7,5.73+- 1.35
介入時点,,,,,,,,,,,,,,,,
齟齬解消したか？,no,no,no,,yes,no,no,no,,no,,no,,no,no,1/11
齟齬解消時点,,,,,12,,,,,,,,,,,12
効率指数,,,,,3,,,,,,,,,,,3
終了状態,3,4,3,5,2,3,3,3,5,4,5,3,5,3,3,
質問文数,4,5,8,4,6,9,9,6,2,7,1,7,9,10,7,6.266666667
センテンス数,35,49,43,28,33,46,66,48,16,40,16,48,35,58,53,40.93333333
質問文割合,0.1142857143,0.1020408163,0.1860465116,0.1428571429,0.1818181818,0.1956521739,0.1363636364,0.125,0.125,0.175,0.0625,0.1458333333,0.2571428571,0.1724137931,0.1320754717,0.1502686422